Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Region
Canada,102.147231,101.97499999999998,106.37299999999999,131.40400000000005,151.21173100000001,157.66767200000007,163.135951,171.24676799999995,191.88186000000002,185.21603659344004,173.275685452,192.90258487860004,194.5054104742,North America
United States,231.2523904889616,233.9248323190944,234.6226699245792,230.12,210.0,216.74500000000006,229.09999999999997,236.2693700929393,222.59888903863748,200.40000000000003,193.4,186.79999999999993,172.69999999999993,North America
Mexico,78.6556315183931,94.36986767070974,107.52953347987453,109.77166974829598,113.35299169510944,131.70636274001896,130.7391205786745,119.6298996228118,118.35889999999999,108.98470000000002,110.36110000000001,124.7763,124.03590000000001,North America
Peru,184.82362000999996,183.83485021,189.76376342250205,182.41872385,171.09699999999998,170.53126375792903,166.005602976123,166.59836480952012,162.5507607986409,143.33903256462008,101.55394400000002,127.33926499999998,125.73306399999998,Central & South America
Brazil,71.547,77.709,80.17300000000002,89.323,90.43800000000002,95.4,98.92399999999999,95.377,97.0,100.0,98.922,93.08418332999999,86.67459619,Central & South America
Colombia,43.605,45.907,56.222178,45.968665,47.895506,49.637983999999996,53.157324,53.158184,43.905367,45.476476,53.635195,59.851223156838,60.43965446140457,Central & South America
Bolivia,6.394583000000001,6.513065999999999,10.273,13.32,34.687,22.089,21.788,28.593,31.312,42.0,23.207,45.662,53.374,Central & South America
Argentina,63.894323644247066,59.04145081648074,54.23661182654393,49.71466905574542,60.04873687693789,63.871665159133,57.978862730623334,61.38556429186544,58.33829450370158,52.49108977156892,35.94497344027495,37.03815339935958,41.39198691993066,Central & South America
Chile,39.494,45.136,49.936,51.309,46.031,42.501,46.333,37.911,37.066,38.455,33.895,34.248,33.9478228208052,Central & South America
Venezuela,24.9,25.5,21.0,22.8,22.7,22.6,23.0,23.0,26.0,27.8,33.36,35.0,30.0,Central & South America
Suriname,20.432825479918087,20.12801141136783,20.00379046879253,18.510786156850415,18.38754444025826,17.393405384951087,21.1892638995293,34.09739321919954,34.25291060111293,32.759912631267945,29.796896464411848,28.26748377393844,28.9091795951895,Central & South America
Ecuador,15.191286379753478,15.629845396749257,15.99765562212287,15.858424844685569,15.297804169215727,14.203125187106851,12.203125187106851,11.5,11.5,11.378888608715686,13.539482675161482,21.328275078647472,22.815487801885286,Central & South America
Dominican Republic,0.05,0.5402840982201751,4.179110903706218,26.5644072702261,36.24872346978438,31.15444201313571,37.99946572658949,35.28287069002844,31.69571190925738,31.808671112680525,28.292578625000527,25.496734647083,22.383369971605948,Central & South America
Guyana,11.927999999999999,13.943,15.594000000000001,18.413,17.3,18.224000000000004,23.003,22.329,19.166677526963838,19.747752672745055,18.17348131911212,16.137978069374252,16.225006669362923,Central & South America
Other,22.338823322000962,26.523685268293377,22.07087701514547,22.907755093749415,21.639612541046404,20.20362429861109,18.026139780651874,14.166685322900094,12.457260072418308,14.549613250943025,15.724224012101729,20.59826580333697,19.619749531044135,Central & South America
Bulgaria,2.5376509447820914,3.420025466282323,4.252101363285867,4.49598802478835,5.5288876691402535,5.398810923517142,5.652836935354503,6.648754515006914,6.754850110253332,7.5058613567058945,9.77791105779315,10.141074018738507,8.994725317514147,Europe
Finland,5.758047066101657,6.57389529369887,9.051804966763827,8.53583750169771,7.564881888749029,8.201266314260742,8.574105766396835,8.830782376533893,8.313895474963614,7.69578541985354,8.668910836939844,9.122644957518403,8.532719317532496,Europe
