Date,Gold Price,Tonnes,North_America,Europe,Asia,Other
2003-03-31,334.85,8.22831781,8.19719947,0.0,0.0,0.03111834
2003-04-30,336.75,10.01008556,9.30812235,0.0,0.0,0.70196321
2003-05-30,361.4,11.68887321,9.30812235,0.0,0.0,2.38075086
2003-06-30,346.0,12.20540581,9.30812235,0.0,0.0,2.89728346
2003-07-31,354.75,12.82747912,9.30812235,0.0,0.0,3.5193567700000004
2003-08-29,375.6,13.35247513,9.30812235,0.0,0.0,4.04435278
2003-09-30,388.0,15.42772668,9.30812235,0.0,0.0,6.11960433
2003-10-31,386.25,16.59147922,9.30812235,0.0,0.0,7.2833568699999995
2003-11-28,398.35,17.35522447,9.30812235,0.0,0.0,8.04710212
2003-12-31,417.25,42.45039325,9.5478171,23.48493829,0.0,9.41763786
2004-01-30,399.75,43.20338349,9.5478171,24.25691041,0.0,9.398655980000001
2004-02-27,395.85,45.30483612,9.5478171,25.80628687,0.0,9.95073215
2004-03-31,423.7,59.18109824,9.5478171,40.10678433,0.0,9.526496810000001
2004-04-30,388.5,81.53900949,9.5478171,62.48019978,0.0,9.51099261
2004-05-31,393.25,63.48286321,9.5478171,44.44589941,0.0,9.4891467
2004-06-30,395.8,59.98919914,9.5478171,40.99938158,0.0,9.442000460000001
2004-07-30,391.4,59.64953839,9.5478171,38.28787191,0.0,11.81384938
2004-08-31,407.25,57.5672443,9.5478171,38.5518907,0.0,9.4675365
2004-09-30,415.65,58.18554429,9.5478171,39.15708154,0.0,9.48064565
2004-10-29,425.55,68.80184911,9.5478171,50.39596608,0.0,8.85806593
2004-11-30,453.4,171.55615957,113.09955216,46.8667798,0.0,11.58982761
2004-12-31,438.0,167.9094333,104.60313161,51.22373359,0.0,12.0825681
2005-01-31,422.15,224.02575214,162.83846667999998,49.12684261,0.0,12.060442850000001
2005-02-28,435.45,271.36118414,214.68114433999997,44.50457759,0.0,12.175462210000001
2005-03-31,427.5,256.40698948,195.50330634,48.8474464,0.0,12.05623674
2005-04-29,435.7,260.28738766,200.99790471999998,46.83946464,0.0,12.4500183
2005-05-31,414.45,259.06434235,201.4638106,45.21167329,0.0,12.38885846
2005-06-30,437.1,264.91209837,207.49000052,45.03251106,0.0,12.38958679
2005-07-29,429.0,279.64944526,221.22320341999998,45.99493692,0.0,12.43130492
2005-08-31,433.25,286.6523802,228.04774733,46.11771549,0.0,12.486917380000001
2005-09-30,473.25,301.96690678,242.8466656,46.55590749,0.0,12.56433369
2005-10-31,470.75,311.64759224,249.53288802,49.41934463,0.0,12.69535959
2005-11-30,495.65,337.79457556,268.51338768,56.28897889,0.0,12.99220899
2005-12-30,513.0,386.81035189,305.34172997999997,63.54761646,0.0,17.921005450000003
2006-01-31,568.75,467.53723535,382.25733251,65.47868383,0.0,19.80121901
2006-02-28,556.0,488.75704264,397.32102461,70.5250078,0.0,20.91101023
